product_id,name_en,name_am,name_oro,brand,category,price,specification,description_en,image_url
26,Camera Nikon Model 26,Camera (Nikon) ??? 26,Camera (Nikon) Moodeela 26,Nikon,Photography,143568,"24MP DSLR, 4K Video, Wi-Fi",High-quality camera by Nikon suitable for daily use.,https://i.imgur.com/cyio9iR.jpeg
27,Microwave Oven Panasonic Model 27,Microwave Oven (Panasonic) ??? 27,Microwave Oven (Panasonic) Moodeela 27,Panasonic,Kitchen Appliances,33079,"1000W Power, Grill Function, Stainless Steel",High-quality microwave oven by Panasonic suitable for daily use.,https://i.imgur.com/UWO8jID.jpeg
28,Bluetooth Speaker LG Model 28,Bluetooth Speaker (LG) ??? 28,Bluetooth Speaker (LG) Moodeela 28,LG,Audio Devices,13112,"Portable, Waterproof, 24hr Battery, Deep Bass",High-quality bluetooth speaker by LG suitable for daily use.,https://i.imgur.com/l9ibzbe.jpeg
29,Refrigerator Hisense Model 29,Refrigerator (Hisense) ??? 29,Refrigerator (Hisense) Moodeela 29,Hisense,Home Appliances,106061,"Single Door, 200L, Energy Saving",High-quality refrigerator by Hisense suitable for daily use.,https://i.imgur.com/Njwudaj.jpeg
30,Bluetooth Speaker JBL Model 30,Bluetooth Speaker (JBL) ??? 30,Bluetooth Speaker (JBL) Moodeela 30,JBL,Audio Devices,19539,"Mini Speaker, Bluetooth 5.0, Rechargeable",High-quality bluetooth speaker by JBL suitable for daily use.,https://i.imgur.com/gG8OKdJ.jpeg
31,Laptop Apple Model 31,Laptop (Apple) ??? 31,Laptop (Apple) Moodeela 31,Apple,Computers,128925,"Intel Core i7, 16GB RAM, 1TB SSD",High-quality laptop by Apple suitable for daily use.,https://i.imgur.com/DNpDzaE.jpeg
32,Laptop Dell Model 32,Laptop (Dell) ??? 32,Laptop (Dell) Moodeela 32,Dell,Computers,117041,"Intel Core i5, 8GB RAM, 512GB SSD",High-quality laptop by Dell suitable for daily use.,https://i.imgur.com/IsTsf6J.jpeg
33,Smartphone Infinix Model 33,Smartphone (Infinix) ??? 33,Smartphone (Infinix) Moodeela 33,Infinix,Mobile Phones,39616,"6.8-inch Display, 64GB Storage, 5000mAh Battery",High-quality smartphone by Infinix suitable for daily use.,https://i.imgur.com/a5YqeyN.jpeg
34,Camera Nikon Model 34,Camera (Nikon) ??? 34,Camera (Nikon) Moodeela 34,Nikon,Photography,25433,"24MP DSLR, 4K Video, Wi-Fi",High-quality camera by Nikon suitable for daily use.,https://i.imgur.com/Weeb2Jt.jpeg
35,Television Samsung Model 35,Television (Samsung) ??? 35,Television (Samsung) Moodeela 35,Samsung,Home Electronics,137325,"43-inch LED, Full HD, HDMI & USB",High-quality television by Samsung suitable for daily use.,https://i.imgur.com/3tttjaa.jpeg
36,Smartphone Apple Model 36,Smartphone (Apple) ??? 36,Smartphone (Apple) Moodeela 36,Apple,Mobile Phones,87518,"6.8-inch Display, 64GB Storage, 5000mAh Battery",High-quality smartphone by Apple suitable for daily use.,https://i.imgur.com/YTMTDz3.jpeg
37,Smartphone Infinix Model 37,Smartphone (Infinix) ??? 37,Smartphone (Infinix) Moodeela 37,Infinix,Mobile Phones,49831,"6.5-inch Display, 128GB Storage, 8GB RAM, 5000mAh Battery",High-quality smartphone by Infinix suitable for daily use.,https://i.imgur.com/a5YqeyN.jpeg
38,Television TCL Model 38,Television (TCL) ??? 38,Television (TCL) Moodeela 38,TCL,Home Electronics,103266,"43-inch LED, Full HD, HDMI & USB",High-quality television by TCL suitable for daily use.,https://i.imgur.com/zbKj49L.jpeg
39,Headphones Anker Model 39,Headphones (Anker) ??? 39,Headphones (Anker) Moodeela 39,Anker,Audio Devices,7198,"Over-Ear, Deep Bass, Mic Included",High-quality headphones by Anker suitable for daily use.,https://i.imgur.com/pV083lR.jpeg
40,Camera Nikon Model 40,Camera (Nikon) ??? 40,Camera (Nikon) Moodeela 40,Nikon,Photography,151419,"24MP DSLR, 4K Video, Wi-Fi",High-quality camera by Nikon suitable for daily use.,https://i.imgur.com/G0EwqOZ.jpeg
41,Television TCL Model 41,Television (TCL) ??? 41,Television (TCL) Moodeela 41,TCL,Home Electronics,155558,"43-inch LED, Full HD, HDMI & USB",High-quality television by TCL suitable for daily use.,https://i.imgur.com/KyPhndR.jpeg
42,Television TCL Model 42,Television (TCL) ??? 42,Television (TCL) Moodeela 42,TCL,Home Electronics,118019,"43-inch LED, Full HD, HDMI & USB",High-quality television by TCL suitable for daily use.,https://i.imgur.com/KyPhndR.jpeg
43,Headphones Anker Model 43,Headphones (Anker) ??? 43,Headphones (Anker) Moodeela 43,Anker,Audio Devices,15188,"Over-Ear, Deep Bass, Mic Included",High-quality headphones by Anker suitable for daily use.,https://i.imgur.com/H2Pf6X8.jpeg
44,Headphones Sony Model 44,Headphones (Sony) ??? 44,Headphones (Sony) Moodeela 44,Sony,Audio Devices,6345,"Wireless Bluetooth, Noise Cancelling, 30hr Battery",High-quality headphones by Sony suitable for daily use.,https://i.imgur.com/uEkF169.jpeg
45,Headphones Anker Model 45,Headphones (Anker) ??? 45,Headphones (Anker) Moodeela 45,Anker,Audio Devices,12697,"Wireless Bluetooth, Noise Cancelling, 30hr Battery",High-quality headphones by Anker suitable for daily use.,https://i.imgur.com/xsdDMj6.jpeg
46,Laptop Asus Model 46,Laptop (Asus) ??? 46,Laptop (Asus) Moodeela 46,Asus,Computers,90331,"Ryzen 5, 8GB RAM, 512GB SSD",High-quality laptop by Asus suitable for daily use.,https://i.imgur.com/sLVwNtn.jpeg
47,Smartwatch Huawei Model 47,Smartwatch (Huawei) ??? 47,Smartwatch (Huawei) Moodeela 47,Huawei,Wearables,39794,"Retina Display, Blood Oxygen Sensor, Bluetooth 5.3",High-quality smartwatch by Huawei suitable for daily use.,https://i.imgur.com/Ovq8dMN.jpeg
48,Refrigerator Hisense Model 48,Refrigerator (Hisense) ??? 48,Refrigerator (Hisense) Moodeela 48,Hisense,Home Appliances,100992,"Double Door, 300L Capacity, Frost Free",High-quality refrigerator by Hisense suitable for daily use.,https://i.imgur.com/Njwudaj.jpeg
49,Microwave Oven LG Model 49,Microwave Oven (LG) ??? 49,Microwave Oven (LG) Moodeela 49,LG,Kitchen Appliances,20489,"800W Power, Digital Control, 25L Capacity",High-quality microwave oven by LG suitable for daily use.,https://i.imgur.com/C7QtcLN.jpeg
50,Microwave Oven LG Model 50,Microwave Oven (LG) ??? 50,Microwave Oven (LG) Moodeela 50,LG,Kitchen Appliances,27008,"800W Power, Digital Control, 25L Capacity",High-quality microwave oven by LG suitable for daily use.,https://i.imgur.com/09IG5sD.jpeg
51,Microwave Oven Samsung Model 51,Microwave Oven (Samsung) ??? 51,Microwave Oven (Samsung) Moodeela 51,Samsung,Kitchen Appliances,32512,"800W Power, Digital Control, 25L Capacity",High-quality microwave oven by Samsung suitable for daily use.,https://i.imgur.com/xs4fla4.jpeg
52,Smartwatch Huawei Model 52,Smartwatch (Huawei) ??? 52,Smartwatch (Huawei) Moodeela 52,Huawei,Wearables,36429,"AMOLED Display, Heart Rate Monitor, GPS, Waterproof",High-quality smartwatch by Huawei suitable for daily use.,https://i.imgur.com/AQEchq9.jpeg
53,Smartphone Infinix Model 53,Smartphone (Infinix) ??? 53,Smartphone (Infinix) Moodeela 53,Infinix,Mobile Phones,33850,"6.8-inch Display, 64GB Storage, 5000mAh Battery",High-quality smartphone by Infinix suitable for daily use.,https://i.imgur.com/9JTGpwr.jpeg
54,Headphones Apple Model 54,Headphones (Apple) ??? 54,Headphones (Apple) Moodeela 54,Apple,Audio Devices,17424,"Wireless Bluetooth, Noise Cancelling, 30hr Battery",High-quality headphones by Apple suitable for daily use.,https://i.imgur.com/lRSPl5J.jpeg
55,Smartphone Apple Model 55,Smartphone (Apple) ??? 55,Smartphone (Apple) Moodeela 55,Apple,Mobile Phones,41780,"6.5-inch Display, 128GB Storage, 8GB RAM, 5000mAh Battery",High-quality smartphone by Apple suitable for daily use.,https://i.imgur.com/ImFm0XU.jpeg
56,Refrigerator Hisense Model 56,Refrigerator (Hisense) ??? 56,Refrigerator (Hisense) Moodeela 56,Hisense,Home Appliances,69321,"Single Door, 200L, Energy Saving",High-quality refrigerator by Hisense suitable for daily use.,https://i.imgur.com/V6sgh15.jpeg
57,Bluetooth Speaker LG Model 57,Bluetooth Speaker (LG) ??? 57,Bluetooth Speaker (LG) Moodeela 57,LG,Audio Devices,16785,"Portable, Waterproof, 24hr Battery, Deep Bass",High-quality bluetooth speaker by LG suitable for daily use.,https://i.imgur.com/K9sjM7x.jpeg
58,Television LG Model 58,Television (LG) ??? 58,Television (LG) Moodeela 58,LG,Home Electronics,123123,"43-inch LED, Full HD, HDMI & USB",High-quality television by LG suitable for daily use.,https://i.imgur.com/EwaaahH.jpeg
59,Television Samsung Model 59,Television (Samsung) ??? 59,Television (Samsung) Moodeela 59,Samsung,Home Electronics,63807,"43-inch LED, Full HD, HDMI & USB",High-quality television by Samsung suitable for daily use.,https://i.imgur.com/tQcEjGX.jpeg
60,Bluetooth Speaker JBL Model 60,Bluetooth Speaker (JBL) ??? 60,Bluetooth Speaker (JBL) Moodeela 60,JBL,Audio Devices,26217,"Mini Speaker, Bluetooth 5.0, Rechargeable",High-quality bluetooth speaker by JBL suitable for daily use.,https://i.imgur.com/cPbCNFV.jpeg
61,Headphones Anker Model 61,Headphones (Anker) ??? 61,Headphones (Anker) Moodeela 61,Anker,Audio Devices,17800,"Over-Ear, Deep Bass, Mic Included",High-quality headphones by Anker suitable for daily use.,https://i.imgur.com/eVqvlIL.jpeg
62,Microwave Oven Panasonic Model 62,Microwave Oven (Panasonic) ??? 62,Microwave Oven (Panasonic) Moodeela 62,Panasonic,Kitchen Appliances,32042,"800W Power, Digital Control, 25L Capacity",High-quality microwave oven by Panasonic suitable for daily use.,https://i.imgur.com/N6ZSzC4.jpeg
63,Microwave Oven Samsung Model 63,Microwave Oven (Samsung) ??? 63,Microwave Oven (Samsung) Moodeela 63,Samsung,Kitchen Appliances,19222,"1000W Power, Grill Function, Stainless Steel",High-quality microwave oven by Samsung suitable for daily use.,https://i.imgur.com/3IPtEIY.jpeg
64,Television LG Model 64,Television (LG) ??? 64,Television (LG) Moodeela 64,LG,Home Electronics,155775,"55-inch 4K UHD, Smart TV, HDR10",High-quality television by LG suitable for daily use.,https://i.imgur.com/mxv3qW6.jpeg
65,Bluetooth Speaker Anker Model 65,Bluetooth Speaker (Anker) ??? 65,Bluetooth Speaker (Anker) Moodeela 65,Anker,Audio Devices,26633,"Mini Speaker, Bluetooth 5.0, Rechargeable",High-quality bluetooth speaker by Anker suitable for daily use.,https://i.imgur.com/vrsTK3M.jpeg
66,Microwave Oven Samsung Model 66,Microwave Oven (Samsung) ??? 66,Microwave Oven (Samsung) Moodeela 66,Samsung,Kitchen Appliances,30419,"800W Power, Digital Control, 25L Capacity",High-quality microwave oven by Samsung suitable for daily use.,https://i.imgur.com/W6v5aDf.jpeg
67,Microwave Oven Samsung Model 67,Microwave Oven (Samsung) ??? 67,Microwave Oven (Samsung) Moodeela 67,Samsung,Kitchen Appliances,12924,"800W Power, Digital Control, 25L Capacity",High-quality microwave oven by Samsung suitable for daily use.,https://i.imgur.com/eg8GABp.jpeg
68,Laptop Apple Model 68,Laptop (Apple) ??? 68,Laptop (Apple) Moodeela 68,Apple,Computers,140982,"Intel Core i7, 16GB RAM, 1TB SSD",High-quality laptop by Apple suitable for daily use.,https://i.imgur.com/V9r5Zdd.jpeg
69,Television TCL Model 69,Television (TCL) ??? 69,Television (TCL) Moodeela 69,TCL,Home Electronics,178431,"55-inch 4K UHD, Smart TV, HDR10",High-quality television by TCL suitable for daily use.,https://i.imgur.com/jsjuy2E.jpeg
70,Camera Fujifilm Model 70,Camera (Fujifilm) ??? 70,Camera (Fujifilm) Moodeela 70,Fujifilm,Photography,142755,"20MP Mirrorless, Touchscreen, Fast Focus",High-quality camera by Fujifilm suitable for daily use.,https://i.imgur.com/vlemkzC.jpeg
71,Camera Sony Model 71,Camera (Sony) ??? 71,Camera (Sony) Moodeela 71,Sony,Photography,144174,"24MP DSLR, 4K Video, Wi-Fi",High-quality camera by Sony suitable for daily use.,https://i.imgur.com/EDN2Bmt.jpeg
72,Microwave Oven Toshiba Model 72,Microwave Oven (Toshiba) ??? 72,Microwave Oven (Toshiba) Moodeela 72,Toshiba,Kitchen Appliances,26240,"1000W Power, Grill Function, Stainless Steel",High-quality microwave oven by Toshiba suitable for daily use.,https://i.imgur.com/FVEPy5O.jpeg
73,Laptop Asus Model 73,Laptop (Asus) ??? 73,Laptop (Asus) Moodeela 73,Asus,Computers,117670,"Intel Core i5, 8GB RAM, 512GB SSD",High-quality laptop by Asus suitable for daily use.,https://i.imgur.com/BwQ1ZeL.jpeg
74,Smartwatch Samsung Model 74,Smartwatch (Samsung) ??? 74,Smartwatch (Samsung) Moodeela 74,Samsung,Wearables,11575,"Retina Display, Blood Oxygen Sensor, Bluetooth 5.3",High-quality smartwatch by Samsung suitable for daily use.,https://i.imgur.com/fiPwu06.jpeg
75,Smartwatch Samsung Model 75,Smartwatch (Samsung) ??? 75,Smartwatch (Samsung) Moodeela 75,Samsung,Wearables,11161,"AMOLED Display, Heart Rate Monitor, GPS, Waterproof",High-quality smartwatch by Samsung suitable for daily use.,https://i.imgur.com/2NcltXi.jpeg
76,Smartphone Xiaomi Model 76,Smartphone (Xiaomi) ??? 76,Smartphone (Xiaomi) Moodeela 76,Xiaomi,Mobile Phones,38980,"6.5-inch Display, 128GB Storage, 8GB RAM, 5000mAh Battery",High-quality smartphone by Xiaomi suitable for daily use.,https://i.imgur.com/XsIIjXD.jpeg
77,Smartphone Tecno Model 77,Smartphone (Tecno) ??? 77,Smartphone (Tecno) Moodeela 77,Tecno,Mobile Phones,36436,"6.1-inch OLED, 256GB Storage, A16 Bionic Chip",High-quality smartphone by Tecno suitable for daily use.,https://i.imgur.com/IN68Nfk.jpeg
78,Smartphone Apple Model 78,Smartphone (Apple) ??? 78,Smartphone (Apple) Moodeela 78,Apple,Mobile Phones,29330,"6.8-inch Display, 64GB Storage, 5000mAh Battery",High-quality smartphone by Apple suitable for daily use.,https://i.imgur.com/a3GgxYJ.jpeg
79,Bluetooth Speaker Sony Model 79,Bluetooth Speaker (Sony) ??? 79,Bluetooth Speaker (Sony) Moodeela 79,Sony,Audio Devices,19441,"Mini Speaker, Bluetooth 5.0, Rechargeable",High-quality bluetooth speaker by Sony suitable for daily use.,https://i.imgur.com/9HGRpNR.jpeg
80,Headphones Anker Model 80,Headphones (Anker) ??? 80,Headphones (Anker) Moodeela 80,Anker,Audio Devices,23263,"Wireless Bluetooth, Noise Cancelling, 30hr Battery",High-quality headphones by Anker suitable for daily use.,https://i.imgur.com/W8UPz45.jpeg
81,Smartwatch Xiaomi Model 81,Smartwatch (Xiaomi) ??? 81,Smartwatch (Xiaomi) Moodeela 81,Xiaomi,Wearables,22635,"Retina Display, Blood Oxygen Sensor, Bluetooth 5.3",High-quality smartwatch by Xiaomi suitable for daily use.,https://i.imgur.com/df262Rb.jpeg
82,Headphones Apple Model 82,Headphones (Apple) ??? 82,Headphones (Apple) Moodeela 82,Apple,Audio Devices,14138,"Over-Ear, Deep Bass, Mic Included",High-quality headphones by Apple suitable for daily use.,https://i.imgur.com/HPVg7n4.jpeg
83,Smartphone Xiaomi Model 83,Smartphone (Xiaomi) ??? 83,Smartphone (Xiaomi) Moodeela 83,Xiaomi,Mobile Phones,23156,"6.1-inch OLED, 256GB Storage, A16 Bionic Chip",High-quality smartphone by Xiaomi suitable for daily use.,https://i.imgur.com/UgDI46S.jpeg
84,Smartphone Infinix Model 84,Smartphone (Infinix) ??? 84,Smartphone (Infinix) Moodeela 84,Infinix,Mobile Phones,116399,"6.8-inch Display, 64GB Storage, 5000mAh Battery",High-quality smartphone by Infinix suitable for daily use.,https://i.imgur.com/5EL7EdP.jpeg
85,Microwave Oven LG Model 85,Microwave Oven (LG) ??? 85,Microwave Oven (LG) Moodeela 85,LG,Kitchen Appliances,9209,"800W Power, Digital Control, 25L Capacity",High-quality microwave oven by LG suitable for daily use.,https://i.imgur.com/FBINuer.jpeg
86,Laptop HP Model 86,Laptop (HP) ??? 86,Laptop (HP) Moodeela 86,HP,Computers,55702,"M1 Chip, 8GB RAM, 256GB SSD",High-quality laptop by HP suitable for daily use.,https://i.imgur.com/NTlxY1a.jpeg
87,Headphones Anker Model 87,Headphones (Anker) ??? 87,Headphones (Anker) Moodeela 87,Anker,Audio Devices,18762,"Over-Ear, Deep Bass, Mic Included",High-quality headphones by Anker suitable for daily use.,https://i.imgur.com/u3ZjpXg.jpeg
88,Headphones Apple Model 88,Headphones (Apple) ??? 88,Headphones (Apple) Moodeela 88,Apple,Audio Devices,4731,"Over-Ear, Deep Bass, Mic Included",High-quality headphones by Apple suitable for daily use.,https://i.imgur.com/WzfGaBF.jpeg
89,Smartwatch Huawei Model 89,Smartwatch (Huawei) ??? 89,Smartwatch (Huawei) Moodeela 89,Huawei,Wearables,35840,"Retina Display, Blood Oxygen Sensor, Bluetooth 5.3",High-quality smartwatch by Huawei suitable for daily use.,https://i.imgur.com/5VEKKdm.jpeg
90,Television Sony Model 90,Television (Sony) ??? 90,Television (Sony) Moodeela 90,Sony,Home Electronics,179973,"43-inch LED, Full HD, HDMI & USB",High-quality television by Sony suitable for daily use.,https://i.imgur.com/BgQMxyR.jpeg
91,Smartphone Xiaomi Model 91,Smartphone (Xiaomi) ??? 91,Smartphone (Xiaomi) Moodeela 91,Xiaomi,Mobile Phones,49255,"6.8-inch Display, 64GB Storage, 5000mAh Battery",High-quality smartphone by Xiaomi suitable for daily use.,https://i.imgur.com/r7Nj73D.jpeg
92,Refrigerator Haier Model 92,Refrigerator (Haier) ??? 92,Refrigerator (Haier) Moodeela 92,Haier,Home Appliances,108966,"Double Door, 300L Capacity, Frost Free",High-quality refrigerator by Haier suitable for daily use.,https://i.imgur.com/4PeliN4.jpeg
93,Television Sony Model 93,Television (Sony) ??? 93,Television (Sony) Moodeela 93,Sony,Home Electronics,30729,"55-inch 4K UHD, Smart TV, HDR10",High-quality television by Sony suitable for daily use.,https://i.imgur.com/lWmXkFk.jpeg
94,Microwave Oven Samsung Model 94,Microwave Oven (Samsung) ??? 94,Microwave Oven (Samsung) Moodeela 94,Samsung,Kitchen Appliances,17374,"800W Power, Digital Control, 25L Capacity",High-quality microwave oven by Samsung suitable for daily use.,https://i.imgur.com/InIGNLy.jpeg
95,Headphones Apple Model 95,Headphones (Apple) ??? 95,Headphones (Apple) Moodeela 95,Apple,Audio Devices,4585,"Wireless Bluetooth, Noise Cancelling, 30hr Battery",High-quality headphones by Apple suitable for daily use.,https://i.imgur.com/FmZmAGC.jpeg
96,Refrigerator Hisense Model 96,Refrigerator (Hisense) ??? 96,Refrigerator (Hisense) Moodeela 96,Hisense,Home Appliances,40861,"Double Door, 300L Capacity, Frost Free",High-quality refrigerator by Hisense suitable for daily use.,https://i.imgur.com/OyVhY6F.jpeg
97,Smartwatch Samsung Model 97,Smartwatch (Samsung) ??? 97,Smartwatch (Samsung) Moodeela 97,Samsung,Wearables,23104,"Retina Display, Blood Oxygen Sensor, Bluetooth 5.3",High-quality smartwatch by Samsung suitable for daily use.,https://i.imgur.com/7pxw2Cm.jpeg
98,Camera Nikon Model 98,Camera (Nikon) ??? 98,Camera (Nikon) Moodeela 98,Nikon,Photography,72567,"24MP DSLR, 4K Video, Wi-Fi",High-quality camera by Nikon suitable for daily use.,https://i.imgur.com/TddDhLZ.jpeg
99,Laptop Apple Model 99,Laptop (Apple) ??? 99,Laptop (Apple) Moodeela 99,Apple,Computers,119614,"Intel Core i5, 8GB RAM, 512GB SSD",High-quality laptop by Apple suitable for daily use.,https://i.imgur.com/CwSfobm.jpeg
100,Camera Canon Model 100,Camera (Canon) ??? 100,Camera (Canon) Moodeela 100,Canon,Photography,173189,"20MP Mirrorless, Touchscreen, Fast Focus",High-quality camera by Canon suitable for daily use.,https://i.imgur.com/EZTZXp8.jpeg
